"If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent","Se você escolher 'Sim' para 'Usar Definições da Categoria Pai para os campos de Review', este atributo herdará os valores dessa categoria"
"Ban","Banir"
"Lift Ban","Desbanir"
"Is Banned from Write Review","Está Banido para Escrever Opinião"
"Ban Customer from Writing Review","Banir Cliente para Escrever Opinião"
"What do?","O que fazer?"
"No","Não"
"Yes","Sim"
"Video of Review","Video da Opinião"
"Sizing","Dimensionar"
"Video","Video"
"Body Type","Tipo de corpo"
"Location","Localização"
"Image","Imagem"
"Age","Idade"
"Height","Altura"
"Good Review","Opiniões Boas"
"No Good Review","Opiniões Ruins"
"Response","Resposta"
"Ban Author of Review from Writing Review","Banir autor do Review"
"For how much days Author's IP will be banned?","Por quantos dias o IP do autor será banido?"
"30 Days","30 Dias"
"90 Days","90 Dias"
"180 Days","180 Dias"
"360 Days","360 Dias"
"Permanently","Permanentemente"
"Customer Name","Nome do Cliente"
"Number of Reviews","Número de Opiniões"
"Product Name","Nome do produto"
"Avg. Rating","Avaliação Média"
"This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?","Isto desinstalará completamente o plugin Detailed Review e apagará todas as informações associadas ao mesmo. Os reviews voltarão ao seu estado original. Tem certeza?"
"Verified Buyers","Compradores Reais"
"Reviews with Images","Opiniões com foto"
"Reviews with Video","Opiniões com video"
"Manufacturer Response","Resposta do Fabricante"
"Highest Contributors","Maiores contribuidores"
"Last Week","Última Semana"
"Last 4 Weeks","Últimas 4 Semanas"
"Last 6 Months","Últimos 6 Meses"
"All Reviews","Todas as Opiniões"
"Please select item(s)","Por favor selecione item(s)"
"Total of %d record(s) were successfully saved","Total de %d registro(s) foram salvos com sucesso"
"Detailed Review plugin has been completely uninstalled.","O plugin Detailed Review foi completamente desinstalado."
"There was a problem with uninstalling: %s","Houve um problema com a desinstalação: %s"
"There was a problem with uninstalling.","Houve um problema com a desinstalação."
"Reviews Statistics","Estatísticas dos Reviews"
"Your vote has been added successfully.","O seu vot foi adicionado com sucesso."
"Unable to add your vote.","Não foi possível adicionar seu voto."
"Please, Fill Email and Password","Por favor, preencha seu Email e Senha"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","É necessário confirmar sua conta. Por favor, verifique seu e-mail com o link de confirmação. Para reenviar o e-mail de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Invalid customer data","Dados inválidos"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se tem certeza de que este é seu email, <a href=""%s"">clique aqui</a> para receber seus dados de acesso."
"Cannot save the customer.","Não foi possível salvar cliente."
"Unknown extension!","Extensão desconhecida!"
"You have exceeded the size limit!","Você excedeu o limite de tamanho!"
"Unable to post the review.","Não foi possível postar sua opinião."
"Your review has been accepted for moderation.","A sua opinião foi aceite pela moderação."
"About You Section","Acerca do seu setor"
"Pros and Cons Details","Detalhes dos Pros e Contras"
"Magento Chart","Gráfico Magento"
"Line Chart","Gráfico em Linha"
"Column Chart","Gráfico em Colunas"
"Area Chart","Gráfico em Area"
"No Slider","Sem indicador"
"Swing","Balançar"
"Guest can't vote","Usuários não registrados não podem votar"
"Review Id can't be empty","O ID da Opinião não pode ser vazio"
"Customer can't vote twice","Você não pode votar duas vezes"
"It can be 0 or 1","Pode ser 0 ou 1"
"runs small","ficou pequeno"
"snug","confortável"
"little bit tight","um pouco apertado"
"true to size","justo"
"little bit loose","um pouco largo"
"roomy","espaçoso"
"runs large","ficou largo"
"Date - Newest First","Data – Novos Primeiro"
"Date - Latest First","Data – Antigos Primeiro"
"Highest Rated","Mais Votados"
"Lowest Rated","Menos Votados"
"Most Helpful","Mais Úteis"
"Ownership","Adquiridos"
"more than ","mais que"
" year(s)"," ano(s)"
" month(s)"," mês(es)"
"less than 1 week","menos de uma semana"
"Write a Review","Deixe sua Opinião"
"Version of Extension:","Version of Extension:"
"Show Review Graph","Show Review Graph"
"Default Email Receiver","Default Email Receiver"
"Helpful", "Helpful"
"Unhelpful", "Unhelpful"
"Date and Time Display Settings", "Date and Time Display Settings"
"Date Format", "Date Format"
"Time Format", "Time Format"
"Review Post with AJAX", "Review Post with AJAX"
"Enable Filters", "Enable Filters"
"Result Filters", "Result Filters"
"Min Number of Posted Reviews to assign a "Highest Contributor" Status to Reviewer", "Min Number of Posted Reviews to assign a "Highest Contributor" Status to Reviewer"
